date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 12:00,1.1,波动状态,低波动启动,63.15,1,1242,弱,3.7,48.15,51.85,3.78,0.0,48.95,0.9751,-0.183,1.0951,-0.0108
2026-06-02 12:00,1.1,波动状态,低波动启动,63.15,3,1240,中,10.48,55.24,44.76,14.03,2.02,46.29,2.6076,0.9547,1.0601,-0.031
2026-06-02 12:00,1.1,波动状态,低波动启动,63.15,5,1239,中,9.12,54.56,45.44,21.79,7.91,44.47,3.5754,1.553,1.0233,-0.059
2026-06-02 12:00,1.1,波动状态,低波动启动,63.15,10,1234,中,14.91,57.46,42.54,32.5,16.77,41.25,6.0708,2.8568,1.0069,-0.0831
2026-06-02 12:00,1.1,短ATR状态,短ATR升温,100.0,1,1068,弱,3.0,48.5,51.5,5.34,0.0,51.4,1.2589,-0.1769,1.1299,0.0142
2026-06-02 12:00,1.1,短ATR状态,短ATR升温,100.0,3,1066,中,10.32,55.16,44.84,15.76,2.63,45.4,2.701,1.0774,1.0518,-0.0441
2026-06-02 12:00,1.1,短ATR状态,短ATR升温,100.0,5,1066,中,10.32,55.16,44.84,23.64,10.79,43.71,3.648,1.474,1.027,-0.0658
2026-06-02 12:00,1.1,短ATR状态,短ATR升温,100.0,10,1066,弱,3.75,51.88,48.12,30.68,23.92,36.77,4.1771,0.7334,0.9481,-0.1422
2026-06-02 12:00,1.1,波动超额状态,振幅已超ATR,100.0,1,981,弱,0.1,50.05,49.95,5.3,0.0,51.78,1.2778,0.0128,1.136,0.0196
2026-06-02 12:00,1.1,波动超额状态,振幅已超ATR,100.0,3,980,中,8.98,54.49,45.51,15.92,3.06,44.69,2.5889,0.9727,1.0364,-0.0619
2026-06-02 12:00,1.1,波动超额状态,振幅已超ATR,100.0,5,979,中,8.89,54.44,45.56,22.98,11.13,42.29,3.3618,1.3359,1.0263,-0.08
2026-06-02 12:00,1.1,波动超额状态,振幅已超ATR,100.0,10,979,弱,6.23,53.12,46.88,31.05,22.27,37.49,5.0398,1.4263,0.9626,-0.1352
2026-06-02 12:00,1.1,趋势状态,强趋势下行,100.0,1,1413,强,36.16,31.92,68.08,3.61,0.0,34.25,-0.2381,-1.5828,0.9363,-0.1625
2026-06-02 12:00,1.1,趋势状态,强趋势下行,100.0,3,1412,强,28.9,35.55,64.45,8.5,7.44,33.43,-0.6255,-2.997,0.9359,-0.1765
2026-06-02 12:00,1.1,趋势状态,强趋势下行,100.0,5,1412,强,31.02,34.49,65.51,12.04,23.3,32.65,-1.0803,-3.9122,0.9225,-0.1798
2026-06-02 12:00,1.1,趋势状态,强趋势下行,100.0,10,1411,强,35.79,32.1,67.9,15.88,42.52,32.39,-3.2763,-7.3285,0.9127,-0.1901
2026-06-02 12:00,1.1,量能状态,放量,100.0,1,776,弱,5.93,52.96,47.04,5.8,0.0,56.44,1.6633,0.2716,1.1804,0.0718
2026-06-02 12:00,1.1,量能状态,放量,100.0,3,775,中强,16.39,58.19,41.81,17.94,2.32,45.42,3.4566,1.4909,1.0671,-0.0457
2026-06-02 12:00,1.1,量能状态,放量,100.0,5,775,中,14.58,57.29,42.71,25.81,9.42,43.35,4.3556,2.3549,1.0472,-0.0709
2026-06-02 12:00,1.1,量能状态,放量,100.0,10,773,中,11.51,55.76,44.24,34.93,19.66,36.48,5.9234,2.3706,0.9654,-0.1551
