indicator,indicatorKey,date,close,value,rankPct,bucket,bucketRange,horizon,futureReturnPct,absReturnPct,maxUpPct,maxDownPct,excursionPct
振幅率,rangePct,2026-01-17,95067.9,0.7224,0,极低,0-10%,1,-2.1622,2.1622,0.4493,-3.4199,3.8691
振幅率,rangePct,2026-01-17,95067.9,0.7224,0,极低,0-10%,3,-5.0902,5.0902,0.4493,-7.7332,8.1825
振幅率,rangePct,2026-01-17,95067.9,0.7224,0,极低,0-10%,5,-5.6426,5.6426,0.4493,-8.276,8.7252
振幅率,rangePct,2026-01-17,95067.9,0.7224,0,极低,0-10%,10,-5.9117,5.9117,0.4493,-9.5031,9.9524
振幅率,rangePct,2026-01-10,90830,0.8915,0.68,极低,0-10%,1,0.8764,0.8764,1.8331,-0.8429,2.676
振幅率,rangePct,2026-01-10,90830,0.8915,0.68,极低,0-10%,3,6.4574,6.4574,6.8579,-0.8429,7.7008
振幅率,rangePct,2026-01-10,90830,0.8915,0.68,极低,0-10%,5,4.0953,4.0953,7.7838,-0.8429,8.6267
振幅率,rangePct,2026-01-10,90830,0.8915,0.68,极低,0-10%,10,-0.6619,0.6619,7.7838,-3.4283,11.212
振幅率,rangePct,2026-04-24,77290,1.0662,1.35,极低,0-10%,1,0.9253,0.9253,1.1581,-0.3306,1.4887
振幅率,rangePct,2026-04-24,77290,1.0662,1.35,极低,0-10%,3,-1.635,1.635,2.8463,-2.1546,5.0009
振幅率,rangePct,2026-04-24,77290,1.0662,1.35,极低,0-10%,5,-1.1304,1.1304,2.8463,-3.1009,5.9472
振幅率,rangePct,2026-04-24,77290,1.0662,1.35,极低,0-10%,10,5.4267,5.4267,5.6903,-3.1009,8.7912
振幅率,rangePct,2026-05-16,78003.6,1.1496,2.03,极低,0-10%,1,-2.0763,2.0763,0.571,-2.5455,3.1165
振幅率,rangePct,2026-05-16,78003.6,1.1496,2.03,极低,0-10%,3,-0.7423,0.7423,0.571,-2.5455,3.1165
振幅率,rangePct,2026-05-16,78003.6,1.1496,2.03,极低,0-10%,5,-1.5879,1.5879,0.571,-2.5455,3.1165
振幅率,rangePct,2026-05-16,78003.6,1.1496,2.03,极低,0-10%,10,-3.4698,3.4698,0.571,-4.8762,5.4472
振幅率,rangePct,2026-05-08,80484.7,1.1775,2.7,极低,0-10%,1,1.1056,1.1056,1.1812,-0.0563,1.2375
振幅率,rangePct,2026-05-08,80484.7,1.1775,2.7,极低,0-10%,3,-0.2459,0.2459,2.4593,-0.4345,2.8938
振幅率,rangePct,2026-05-08,80484.7,1.1775,2.7,极低,0-10%,5,0.9407,0.9407,2.4593,-2.1907,4.6501
振幅率,rangePct,2026-05-08,80484.7,1.1775,2.7,极低,0-10%,10,-4.9531,4.9531,2.4593,-5.5498,8.0091
振幅率,rangePct,2026-05-01,78448,1.1848,3.38,极低,0-10%,1,0.2348,0.2348,0.9241,-0.5562,1.4802
振幅率,rangePct,2026-05-01,78448,1.1848,3.38,极低,0-10%,3,3.8705,3.8705,4.1301,-0.5562,4.6863
振幅率,rangePct,2026-05-01,78448,1.1848,3.38,极低,0-10%,5,1.8027,1.8027,5.5476,-0.5562,6.1038
振幅率,rangePct,2026-05-01,78448,1.1848,3.38,极低,0-10%,10,2.344,2.344,5.5476,-0.5562,6.1038
振幅率,rangePct,2026-01-16,95519.6,1.2159,4.05,极低,0-10%,1,-0.4729,0.4729,0,-0.7224,0.7224
振幅率,rangePct,2026-01-16,95519.6,1.2159,4.05,极低,0-10%,3,-5.1106,5.1106,0,-5.9812,5.9812
振幅率,rangePct,2026-01-16,95519.6,1.2159,4.05,极低,0-10%,5,-6.8715,6.8715,0,-8.7097,8.7097
振幅率,rangePct,2026-01-16,95519.6,1.2159,4.05,极低,0-10%,10,-7.8788,7.8788,0,-9.9311,9.9311
振幅率,rangePct,2026-05-09,81374.5,1.2375,4.73,极低,0-10%,1,0.038,0.038,1.339,-1.4089,2.7479
振幅率,rangePct,2026-05-09,81374.5,1.2375,4.73,极低,0-10%,3,-3.1636,3.1636,1.339,-3.2079,4.5469
振幅率,rangePct,2026-05-09,81374.5,1.2375,4.73,极低,0-10%,5,-2.774,2.774,1.339,-3.424,4.763
振幅率,rangePct,2026-05-09,81374.5,1.2375,4.73,极低,0-10%,10,-4.854,4.854,1.339,-6.5825,7.9215
振幅率,rangePct,2026-04-03,67346,1.2401,5.41,极低,0-10%,1,-0.0965,0.0965,0.7426,-1.1488,1.8914
振幅率,rangePct,2026-04-03,67346,1.2401,5.41,极低,0-10%,3,1.1771,1.1771,4.4202,-1.1488,5.569
振幅率,rangePct,2026-04-03,67346,1.2401,5.41,极低,0-10%,5,7.0675,7.0675,8.2121,-1.1488,9.3609
振幅率,rangePct,2026-04-03,67346,1.2401,5.41,极低,0-10%,10,11.7815,11.7815,12.8501,-1.1488,13.9989
振幅率,rangePct,2026-03-28,66500.2,1.3305,6.08,极低,0-10%,1,1.6556,1.6556,2.5544,-2.36,4.9144
振幅率,rangePct,2026-03-28,66500.2,1.3305,6.08,极低,0-10%,3,3.5901,3.5901,4.234,-2.36,6.594
振幅率,rangePct,2026-03-28,66500.2,1.3305,6.08,极低,0-10%,5,0.4629,0.4629,4.234,-2.36,6.594
振幅率,rangePct,2026-03-28,66500.2,1.3305,6.08,极低,0-10%,10,7.1655,7.1655,9.5884,-2.36,11.9484
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,1,1.7275,1.7275,2.4992,-0.6173,3.1165
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,3,3.8484,3.8484,5.3004,-0.6173,5.9177
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,5,1.8902,1.8902,5.3004,-0.6173,5.9177
振幅率,rangePct,2026-05-02,78632.2,1.4802,6.76,极低,0-10%,10,0.2135,0.2135,5.3004,-0.6173,5.9177
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,1,-1.5987,1.5987,1.9033,-1.9065,3.8099
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,3,-2.7085,2.7085,1.9033,-3.0517,4.9551
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,5,0.5061,0.5061,1.9033,-3.9893,5.8927
振幅率,rangePct,2026-04-25,78005.2,1.4887,7.43,极低,0-10%,10,4.6831,4.6831,6.1468,-3.9893,10.1361
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,1,-2.6873,2.6873,1.3354,-3.0986,4.434
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,3,3.3694,3.3694,4.3575,-3.2551,7.6126
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,5,2.5175,2.5175,4.3575,-3.2551,7.6126
振幅率,rangePct,2026-04-10,72826.6,1.5243,8.11,极低,0-10%,10,4.0768,4.0768,7.5472,-3.2551,10.8024
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,1,-0.9228,0.9228,0.5066,-2.6944,3.201
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,3,1.1672,1.1672,2.341,-2.6944,5.0354
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,5,-6.2858,6.2858,2.4696,-8.48,10.9496
振幅率,rangePct,2026-01-24,88415.8,1.5566,8.78,极低,0-10%,10,-16.1893,16.1893,2.4696,-17.5344,20.004
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,1,1.211,1.211,1.7419,-0.1527,1.8946
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,3,0.3488,0.3488,2.1743,-0.1527,2.327
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,5,-0.2064,0.2064,2.1743,-3.0043,5.1786
振幅率,rangePct,2026-05-18,76498.2,1.6612,10.14,偏低,10-30%,10,-3.5734,3.5734,2.1743,-5.309,7.4833
振幅率,rangePct,2026-04-02,66808,1.7211,10.81,偏低,10-30%,1,0.8053,0.8053,1.1106,-0.1295,1.2401
