date,label,reason,expectedDirection,close,dayChangePct,trendScorePct,resonance,volatilityMultiple,volumeMultiple,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,horizon,futureReturnPct,maxUpPct,maxDownPct
2023-10-06,强趋势↑,共振 4/4，趋势动能 5.15%,1,27945.1,0.0175,5.152,up:4/4,0.7968,0.7116,2.3849,0.947,59.2917,1.8614,0.7429,50,1,-0.1614,0.5429,-0.963
2023-10-06,强趋势↑,共振 4/4，趋势动能 5.15%,1,27945.1,0.0175,5.152,up:4/4,0.7968,0.7116,2.3849,0.947,59.2917,1.8614,0.7429,50,3,-1.9238,0.5429,-2.4516
2023-10-06,强趋势↑,共振 4/4，趋势动能 5.15%,1,27945.1,0.0175,5.152,up:4/4,0.7968,0.7116,2.3849,0.947,59.2917,1.8614,0.7429,50,5,-4.5353,0.5429,-5.0599
2023-10-06,强趋势↑,共振 4/4，趋势动能 5.15%,1,27945.1,0.0175,5.152,up:4/4,0.7968,0.7116,2.3849,0.947,59.2917,1.8614,0.7429,50,10,1.8415,9.7867,-5.0599
2023-10-07,强趋势↑,共振 4/4，趋势动能 5.24%,1,27900,-0.1614,5.2371,up:4/4,0.6296,0.6406,2.2197,0.9065,58.626,1.637,0.6724,0,1,-1.6226,0.3405,-1.8996
2023-10-07,强趋势↑,共振 4/4，趋势动能 5.24%,1,27900,-0.1614,5.2371,up:4/4,0.6296,0.6406,2.2197,0.9065,58.626,1.637,0.6724,0,3,-4.014,0.3405,-4.3358
2023-10-07,强趋势↑,共振 4/4，趋势动能 5.24%,1,27900,-0.1614,5.2371,up:4/4,0.6296,0.6406,2.2197,0.9065,58.626,1.637,0.6724,0,5,-4.2742,0.3405,-4.9065
2023-10-07,强趋势↑,共振 4/4，趋势动能 5.24%,1,27900,-0.1614,5.2371,up:4/4,0.6296,0.6406,2.2197,0.9065,58.626,1.637,0.6724,0,10,1.2437,9.9642,-4.9065
2023-10-08,弱趋势,共振 4/4，趋势动能 2.90%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,1,-0.145,1.0981,-0.6824
2023-10-08,弱趋势,共振 4/4，趋势动能 2.90%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,3,-2.8039,1.0981,-3.338
2023-10-08,弱趋势,共振 4/4，趋势动能 2.90%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,5,-1.8301,1.0981,-3.338
2023-10-08,弱趋势,共振 4/4，趋势动能 2.90%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,10,4.4817,11.7778,-3.338
2023-10-08,背离,共振向上，当日涨跌 -1.62%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,1,-0.145,1.0981,-0.6824
2023-10-08,背离,共振向上，当日涨跌 -1.62%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,3,-2.8039,1.0981,-3.338
2023-10-08,背离,共振向上，当日涨跌 -1.62%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,5,-1.8301,1.0981,-3.338
2023-10-08,背离,共振向上，当日涨跌 -1.62%,0,27447.3,-1.6226,2.9029,up:4/4,0.9395,0.909,0.5611,0.2302,47.5092,-0.0556,-0.023,0,10,4.4817,11.7778,-3.338
2023-10-09,弱趋势,共振 2/4，趋势动能 1.39%,0,27407.5,-0.1454,1.391,mixed:2/4,0.7488,1.0671,0.4153,0.1737,46.5799,-0.2393,-0.1007,0,1,-2.2892,0.4017,-2.6168
2023-10-09,弱趋势,共振 2/4，趋势动能 1.39%,0,27407.5,-0.1454,1.391,mixed:2/4,0.7488,1.0671,0.4153,0.1737,46.5799,-0.2393,-0.1007,0,3,-2.554,0.4017,-3.1977
2023-10-09,弱趋势,共振 2/4，趋势动能 1.39%,0,27407.5,-0.1454,1.391,mixed:2/4,0.7488,1.0671,0.4153,0.1737,46.5799,-0.2393,-0.1007,0,5,-1.8685,0.4017,-3.1977
2023-10-09,弱趋势,共振 2/4，趋势动能 1.39%,0,27407.5,-0.1454,1.391,mixed:2/4,0.7488,1.0671,0.4153,0.1737,46.5799,-0.2393,-0.1007,0,10,7.8344,11.9402,-3.1977
2023-10-10,过冷,中值位置 31%，MA位置 0%,1,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,1,-0.3824,0.627,-0.9298
2023-10-10,过冷,中值位置 31%，MA位置 0%,1,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,3,0.6158,1.3066,-0.9298
2023-10-10,过冷,中值位置 31%，MA位置 0%,1,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,5,4.8133,14.5627,-0.9298
2023-10-10,过冷,中值位置 31%，MA位置 0%,1,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,10,11.7655,14.5627,-0.9298
2023-10-10,波动爆发,波动倍率 1.24x,0,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,1,-0.3824,0.627,-0.9298
2023-10-10,波动爆发,波动倍率 1.24x,0,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,3,0.6158,1.3066,-0.9298
2023-10-10,波动爆发,波动倍率 1.24x,0,26780.1,-2.2888,-0.8209,down:3/4,1.2439,1.4533,-1.8834,-0.7729,31.0204,-2.5508,-1.054,0,5,4.8133,14.5627,-0.9298
