instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_wait,score_trendFollowing,score_meanReversion,score_grid,score_breakout
BTC-USDT,1W,ok,weak_display_only,0.31,218.0,0.436,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-10-08,2026-05-24,451,6.9745,8.433,9.4501,10.2823,29.7884,40.2528,短期下侧偏离 + 大周期偏强,2026-05-24,73651.9,黄偏红,低吸均值回归,44.03,常态波动 / 振幅未满ATR / 短期下侧偏离 / 大周期偏强,谨慎观察，不把单一短期偏离当入场理由,常态波动,9.5963,29.34,0.789,41.44,-0.211,振幅未满ATR,64.1,35.9,28.74,0.6783,0.8202,中值下侧偏离,-6.7257,-0.7514,17.86,233MA上侧偏离,27.2208,2.2297,59.62,弱趋势混合,-3.1049,mixed,2,缩量,0.745,优势不够大，不能单独触发策略；不是天然做空区域,49.35,47.52,44.03,44.0,9.0
ETH-USDT,1W,ok,weak_display_only,0.31,218.0,0.436,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-10-08,2026-05-24,451,9.5688,12.5054,15.1478,17.7448,18.2902,3.7829,短期下侧偏离 + 大周期弱势深水区,2026-05-24,2010.54,黄偏红,趋势做空,48.0,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,15.5747,42.12,0.5566,20.21,-0.4434,振幅未满ATR,60.0,40.0,24.51,0.5392,0.7047,中值下侧偏离,-21.8807,-1.7984,46.91,233MA下侧极端,-18.8067,-1.4872,33.33,强趋势下行,-15.6057,down,3,缩量,0.5019,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,71.76,48.0,58.87,2.0,53.0
SOL-USDT,1W,ok,weak_display_only,0.0,63.0,0.126,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-09-27,2026-05-24,296,10.1746,13.6654,17.5099,22.2241,17.2374,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,81.89,黄偏红,向上突破,0.0,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,18.208,34.81,0.4366,11.13,-0.5634,振幅未满ATR,16.67,83.33,16.67,0.4578,0.6149,中值下侧偏离,-24.2285,-1.7561,38.1,233MA下侧极端,-21.0557,-1.4648,71.43,强趋势下行,-17.3365,down,3,缩量,0.4318,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,71.86,48.0,58.11,18.0,53.0
BNB-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-12-18,2026-05-24,180,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP-USDT,1W,ok,weak_display_only,0.3,214.0,0.428,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-11-05,2026-05-24,447,8.6139,11.5615,14.9824,18.7951,21.8983,33.2299,短期下侧偏离 + 大周期偏强,2026-05-24,1.33,黄,低吸均值回归,56.47,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期偏强,均值回归可观察，但要服从大周期过滤,波动压缩,15.5815,23.62,0.4746,19.93,-0.5254,振幅未满ATR,62.5,37.5,27.27,0.4583,0.6151,中值下侧偏离,-24.7377,-2.1095,58.76,233MA上侧偏离,20.392,1.0871,42.0,强趋势下行,-15.3754,down,3,缩量,0.5598,优势不够大，不能单独触发策略；不是天然做空区域,57.88,58.0,56.47,26.0,37.0
DOGE-USDT,1W,ok,weak_display_only,0.18,126.0,0.252,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-07-14,2026-05-24,359,10.8171,13.6533,17.9202,23.9337,37.6861,1.7057,短期下侧偏离 + 大周期弱势深水区,2026-05-24,0.1,黄偏绿,向下突破,35.0,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,突破预备天气，等待放量和方向确认,波动压缩,18.7652,33.09,0.3922,11.71,-0.6078,振幅未满ATR,33.33,66.67,27.42,0.452,0.5705,中值下侧偏离,-15.5777,-0.9833,55.77,233MA下侧极端,-25.7172,-1.8449,80.0,弱趋势混合,-9.9395,mixed,2,缩量,0.4048,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,72.13,42.0,56.2,36.0,35.0
ADA-USDT,1W,ok,weak_display_only,0.25,177.0,0.354,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-07-22,2026-05-24,410,10.6389,15.2542,21.5918,30.3182,27.2328,23.51,短期下侧偏离 + 大周期弱势深水区,2026-05-24,0.23,黄偏红,低吸均值回归,58.57,高波动冷却 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,高波动冷却,22.8325,54.53,0.3747,9.7,-0.6253,振幅未满ATR,71.43,28.57,22.83,0.3509,0.5031,中值下侧偏离,-28.9146,-1.7815,37.8,233MA下侧极端,-56.769,-5.7513,58.82,强趋势下行,-24.9127,down,4,缩量,0.4426,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,58.52,82.0,58.57,2.0,21.0
LINK-USDT,1W,ok,weak_display_only,0.29,209.0,0.418,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-12-10,2026-05-24,442,11.2913,13.4007,16.907,21.608,24.3328,35.545,短期下侧偏离 + 大周期偏弱,2026-05-24,9.1,黄偏红,低吸均值回归,49.46,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期偏弱,谨慎观察，不把单一短期偏离当入场理由,波动压缩,17.5878,23.89,0.5733,24.36,-0.4267,振幅未满ATR,54.29,45.71,18.45,0.5226,0.6202,中值下侧偏离,-15.6269,-1.0531,50.59,233MA下侧偏离,-28.0166,-2.213,79.03,弱趋势混合,-12.2688,mixed,2,缩量,0.5675,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,58.16,56.0,49.46,44.0,35.0
AVAX-USDT,1W,ok,weak_display_only,0.0,64.0,0.128,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-09-20,2026-05-24,297,10.6027,14.1009,19.4844,27.6168,32.4428,0.0,短期下侧偏离 + 大周期弱势深水区,2026-05-24,8.88,黄偏红,低吸均值回归,49.74,波动压缩 / 振幅未满ATR / 短期下侧偏离 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,波动压缩,20.5767,26.23,0.4649,23.06,-0.5351,振幅未满ATR,50.0,50.0,11.9,0.3839,0.5106,中值下侧偏离,-20.9871,-1.2909,58.33,233MA下侧极端,-67.7918,-10.2291,78.57,强趋势下行,-18.1784,down,3,缩量,0.2575,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,72.58,48.0,49.74,36.0,53.0
TON-USDT,1W,insufficient_history,insufficient,0,0,0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-04-24,2026-05-24,214,,,,,,,数据不足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
