instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3Pct,atr8Pct,atr13Pct,atr21Pct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middlePositionPct,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maPositionPct,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationWeather,deviationRiskNote,score_breakout,score_trendFollowing,score_meanReversion,score_wait,score_grid
BTC-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,71599.2,黄偏绿,低吸均值回归,40.17,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,1.0582,16.54,1.4788,85.65,0.4788,振幅已超ATR,48.81,51.19,41.64,1.4952,1.1364,1.0636,1.0444,1.4315,1.088,中值下侧偏离,-1.2581,-1.2041,40.1465,53.64,233MA下侧极端,-7.9509,-8.1626,34.3701,50.24,强趋势下行,-3.3299,down,4,量能正常,1.13,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,93,80.65,40.17,34.98,30
ETH-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,2004.63,黄偏绿,向下突破,93,低波动启动 / 振幅已超ATR / 短期贴近中轴 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,1.3206,10.93,1.8899,93.79,0.8899,振幅已超ATR,49.09,50.91,41.8,1.8106,1.3851,1.3227,1.3288,1.3626,1.0424,中值贴近中轴,0.1646,0.1245,51.7584,9.15,233MA下侧极端,-9.4503,-7.9031,43.0006,50.26,趋势不明,-1.0952,down,4,放量,1.6157,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,93,77.48,0,34.98,68
SOL-USDT,4H,ok,half_weight,0.7,12190,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-09-30 08:00,2026-06-01 16:00,12423,2026-06-01 16:00,81.2,黄偏绿,向下突破,100,低波动启动 / 振幅已超ATR / 短期贴近中轴 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,1.5656,4.11,1.7306,92.13,0.7306,振幅已超ATR,48.8,51.2,42.55,2.1086,1.6615,1.5719,1.554,1.3569,1.0692,中值贴近中轴,-0.0738,-0.0472,32.984,8.28,233MA下侧极端,-6.1359,-4.1754,56.0739,49.3,弱趋势下行,-1.8598,down,4,放量,1.8047,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,100,81.3,0,33.58,46
BNB-USDT,4H,ok,half_weight,0.7,7320,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2022-12-21 00:00,2026-06-01 16:00,7553,2026-06-01 16:00,696.3,黄偏绿,向上突破,93,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,观察,高波动扩张,2.5253,91.57,1.2625,78.3,0.2625,振幅已超ATR,54.48,45.52,40.45,3.5619,3.0094,2.592,2.1718,1.6401,1.3857,中值上侧偏离,1.1623,0.455,51.5998,55.56,233MA上侧极端,7.3957,2.7269,68.2649,44.29,弱趋势上行,1.6373,up,3,量能正常,1.1146,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,93,72.19,24,34.98,8
XRP-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,1.3,黄偏绿,低吸均值回归,39.68,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,1.4776,13.77,1.3692,83.39,0.3692,振幅已超ATR,48.73,51.27,42.38,1.7576,1.5217,1.4815,1.4623,1.2019,1.0406,中值下侧偏离,-1.7088,-1.1765,29.7012,56.9,233MA下侧极端,-6.4417,-4.6597,46.8691,51.39,弱趋势下行,-2.5978,down,4,量能正常,1.1416,短期下侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,93,76.99,39.68,34.98,54
DOGE-USDT,4H,ok,half_weight,0.7,14830,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2019-07-18 08:00,2026-06-01 16:00,15063,2026-06-01 16:00,0.1,黄偏绿,高抛均值回归,36,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,1.6032,14.97,1.7546,91.92,0.7546,振幅已超ATR,47.16,52.84,40.99,2.0815,1.6681,1.6059,1.6119,1.2914,1.0349,中值上侧偏离,0.9938,0.6138,73.8868,56.95,233MA下侧极端,-4.6977,-3.0747,15.5811,52.9,趋势不明,-0.1418,down,3,量能正常,1.3717,短期上侧偏离 + 大周期弱势深水区,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,93,62.71,36,34.98,68
ADA-USDT,4H,ok,half_weight,0.7,16990,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-07-23 08:00,2026-06-01 16:00,17223,2026-06-01 16:00,0.23,黄偏绿,向下突破,100,低波动启动 / 振幅已超ATR / 短期贴近中轴 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,1.7654,15.19,1.3947,85.02,0.3947,振幅已超ATR,46.47,53.53,41.8,2.2026,1.8544,1.7733,1.7365,1.2684,1.0679,中值贴近中轴,-0.3873,-0.2202,50.8761,8.4,233MA下侧极端,-8.2872,-5.1184,37.8379,52.42,弱趋势下行,-2.2306,down,4,量能正常,1.3341,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,100,83.15,0,33.58,46
LINK-USDT,4H,ok,half_weight,0.7,18148,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2018-01-11 08:00,2026-06-01 16:00,18381,2026-06-01 16:00,9.08,黄偏红,向下突破,93,低波动启动 / 振幅已超ATR / 短期贴近中轴 / 大周期弱势深水区,谨慎观察，不把单一短期偏离当入场理由,低波动启动,1.8258,13.06,1.5013,87.78,0.5013,振幅已超ATR,48.38,51.62,40.95,2.1893,1.8873,1.8297,1.8212,1.2022,1.0363,中值贴近中轴,0.3535,0.1929,55.8967,7.71,233MA下侧极端,-5.4167,-3.1366,10.6108,53.51,趋势不明,-1.1825,down,3,量能正常,1.2758,短期贴近中轴 + 大周期弱势深水区,贴近中轴时继续拉伸概率通常更高；历史上继续远离 233MA 的概率不低,93,67.91,0,34.98,68
AVAX-USDT,4H,ok,half_weight,0.7,12238,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2020-09-22 08:00,2026-06-01 16:00,12471,2026-06-01 16:00,8.96,黄偏绿,高抛均值回归,36,低波动启动 / 振幅已超ATR / 短期上侧偏离 / 大周期偏弱,均值回归可观察，但要服从大周期过滤,低波动启动,1.8615,12.61,1.6966,92.11,0.6966,振幅已超ATR,49.37,50.63,41.96,2.4188,1.9785,1.8718,1.8228,1.327,1.0854,中值上侧偏离,1.043,0.5545,56.3159,53.27,233MA下侧偏离,-4.2553,-2.3876,54.5739,64.62,趋势不明,-0.413,down,3,放量,1.6701,短期上侧偏离 + 大周期偏弱,优势不够大，不能单独触发策略；未到极端，但大天气仍偏弱,93,74.06,36,20.98,76
TON-USDT,4H,ok,half_weight,0.7,8735,1,0.7,1,0,true,requested_start_not_reached,233,OKX,2022-04-29 04:00,2026-06-01 16:00,8968,2026-06-01 16:00,2.21,绿,向上突破,100,高波动扩张 / 振幅已超ATR / 短期上侧偏离 / 大周期强势高位,观察,高波动扩张,4.1169,91.69,2.3222,97.31,1.3222,振幅已超ATR,58.1,41.9,42.47,7.5663,5.0242,4.2111,3.726,2.0307,1.3484,中值上侧偏离,10.5158,2.3112,66.8633,53.98,233MA上侧极端,19.0339,3.884,69.8181,44.89,强趋势上行,19.6884,up,4,放量,9.7164,短期上侧偏离 + 大周期强势高位,优势不够大，不能单独触发策略；强势区可以长期维持在 233MA 上方,100,100,52.1,32.04,0
